"Date","Price","Open","High","Low","Vol.","Change %"
"08/26/2021","15,000","14,500","15,000","14,500","8.20K","2.04%"
"08/25/2021","14,700","14,300","14,700","14,200","3.50K","2.08%"
"08/24/2021","14,400","14,400","14,400","14,200","2.30K","-2.04%"
"08/23/2021","14,700","14,900","14,900","14,500","3.00K","-1.34%"
"08/20/2021","14,900","14,900","14,900","14,400","27.70K","0.00%"
"08/19/2021","14,900","14,900","14,900","14,800","11.00K","0.00%"
"08/18/2021","14,900","14,600","14,900","14,500","4.10K","3.47%"
"08/17/2021","14,400","14,900","15,000","14,300","40.10K","-5.26%"
"08/16/2021","15,200","16,800","16,800","14,600","25.00K","-5.00%"
"08/13/2021","16,000","16,500","16,700","16,000","6.60K","-4.76%"
"08/12/2021","16,800","16,300","17,000","16,300","19.70K","3.70%"
"08/11/2021","16,200","15,800","16,500","15,800","36.80K","2.53%"
"08/10/2021","15,800","14,500","15,800","14,500","185.30K","8.97%"
"08/06/2021","14,500","14,300","14,500","14,300","4.90K","1.40%"
"08/05/2021","14,300","14,300","14,500","14,300","25.60K","0.70%"
"08/04/2021","14,200","14,500","14,500","14,200","1.70K","-0.70%"
"08/02/2021","14,300","14,100","14,300","14,100","24.20K","2.14%"
"07/30/2021","14,000","14,000","14,000","14,000","21.10K","0.72%"
"07/28/2021","13,900","13,900","13,900","13,900","0.50K","14.88%"
"07/27/2021","12,100","12,100","12,100","12,100","1.00K","-6.92%"
"07/23/2021","13,000","13,000","13,000","13,000","0.40K","-9.09%"
"07/22/2021","14,300","14,300","14,300","14,300","0.20K","0.00%"
"07/21/2021","14,300","14,300","14,300","14,300","2.70K","-1.38%"
"07/19/2021","14,500","14,100","14,500","14,100","14.50K","-0.68%"
"07/15/2021","14,600","14,600","14,600","14,600","0.20K","0.69%"
"07/12/2021","14,500","14,500","14,500","14,500","10.30K","-3.33%"
"07/09/2021","15,000","14,500","15,000","14,500","1.40K","0.00%"
"07/06/2021","15,000","14,800","15,000","14,800","0.20K","2.04%"
"07/05/2021","14,700","15,000","17,100","14,700","2.40K","-2.00%"
"07/02/2021","15,000","14,900","15,000","14,900","1.00K","3.45%"
"07/01/2021","14,500","14,100","14,500","14,100","1.10K","2.11%"
"06/29/2021","14,200","14,000","14,200","14,000","1.90K","0.00%"
"06/25/2021","14,200","14,000","14,200","14,000","0.40K","1.43%"
"06/24/2021","14,000","14,000","14,000","14,000","3.00K","0.00%"
"06/23/2021","14,000","14,500","14,500","14,000","3.10K","-6.67%"
"06/22/2021","15,000","14,900","15,000","14,900","0.90K","2.04%"
"06/21/2021","14,700","14,500","14,700","14,500","3.00K","3.52%"
"06/18/2021","14,200","14,000","14,200","14,000","6.00K","-5.33%"
"06/15/2021","15,000","15,000","15,000","15,000","0.30K","0.00%"
"06/14/2021","15,000","15,000","15,000","15,000","0.10K","0.00%"
"06/11/2021","15,000","16,500","16,500","15,000","0.30K","0.00%"
"06/09/2021","15,000","15,000","15,000","15,000","5.40K","0.00%"
"06/08/2021","15,000","15,000","15,000","15,000","0.50K","-2.60%"
"06/07/2021","15,400","15,400","15,400","15,400","1.00K","0.00%"
"06/03/2021","15,400","15,400","15,400","15,400","7.60K","-3.75%"
"06/02/2021","16,000","14,300","16,000","14,300","3.10K","10.34%"
"05/28/2021","14,500","13,000","14,500","13,000","4.60K","11.54%"
"05/27/2021","13,000","13,000","13,000","13,000","0.10K","-10.34%"
"05/25/2021","14,500","14,500","14,500","14,500","12.00K","-2.03%"
"05/24/2021","14,800","14,800","14,800","14,800","0.90K","0.00%"
"05/21/2021","14,800","15,500","15,500","14,800","10.10K","-1.33%"
"05/20/2021","15,000","15,800","15,800","15,000","0.30K","-5.66%"
"05/19/2021","15,900","16,900","16,900","15,900","0.30K","9.66%"
"05/18/2021","14,500","15,000","15,000","14,500","7.80K","-8.23%"
"05/14/2021","15,800","13,600","15,800","13,600","1.00K","-1.25%"
"05/13/2021","16,000","16,000","16,000","16,000","0.40K","3.23%"
"05/12/2021","15,500","15,500","15,500","15,500","0.50K","0.00%"
"05/11/2021","15,500","15,000","15,500","15,000","5.10K","0.00%"
"05/10/2021","15,500","15,500","15,500","15,500","0.10K","0.00%"
"05/07/2021","15,500","16,000","16,000","15,500","2.20K","-3.13%"
"05/06/2021","16,000","14,600","16,000","14,600","1.40K","11.11%"
"05/05/2021","14,400","14,400","15,300","14,400","1.10K","-14.79%"
"04/28/2021","16,900","16,900","16,900","16,900","1.00K","0.00%"
"04/26/2021","16,900","16,900","16,900","16,900","1.20K","0.00%"
"04/23/2021","16,900","16,500","16,900","16,500","1.10K","2.42%"
"04/20/2021","16,500","16,800","16,800","16,500","0.30K","-1.79%"
"04/19/2021","16,800","16,800","16,800","16,800","0.30K","19.15%"
"04/16/2021","14,100","16,500","16,500","14,100","0.40K","-14.55%"
"04/15/2021","16,500","16,500","16,500","16,500","1.20K","3.13%"
"04/14/2021","16,000","16,600","16,700","16,000","13.50K","0.63%"
