Date,Price,Open,High,Low,Vol.,Change %
14/01/2015,"19,722","19,405","20,091","19,405",4.03M,1.08%
15/01/2015,"19,405","19,616","19,933","19,405",1.87M,-1.61%
16/01/2015,"19,142","19,405","19,405","19,036",1.17M,-1.36%
19/01/2015,"18,667","19,195","19,616","18,667",1.59M,-2.48%
20/01/2015,"18,984","18,667","19,036","18,614",1.38M,1.70%
21/01/2015,"18,667","18,984","18,984","18,667",924.35K,-1.67%
22/01/2015,"19,089","18,667","19,458","18,404",3.28M,2.26%
23/01/2015,"19,564","19,247","20,038","19,142",2.36M,2.49%
26/01/2015,"19,300","19,564","19,775","19,300",858.84K,-1.35%
27/01/2015,"19,142","19,247","19,405","18,720",1.79M,-0.82%
28/01/2015,"19,722","19,142","19,827","18,984",2.31M,3.03%
29/01/2015,"19,458","19,722","19,722","19,405",1.02M,-1.34%
30/01/2015,"18,825","19,405","19,405","18,773",2.00M,-3.25%
02/02/2015,"18,825","18,720","19,036","18,667",1.05M,0.00%
03/02/2015,"17,560","18,773","18,878","17,560",2.57M,-6.72%
04/02/2015,"17,454","17,138","17,560","16,822",2.35M,-0.60%
05/02/2015,"18,404","17,665","18,456","17,665",1.40M,5.44%
06/02/2015,"18,984","18,456","18,984","18,456",1.19M,3.15%
09/02/2015,"19,089","18,878","19,353","18,720",1.74M,0.55%
10/02/2015,"19,195","19,195","19,458","19,142",1.02M,0.56%
11/02/2015,"19,564","19,195","19,669","19,142",916.04K,1.92%
12/02/2015,"19,142","19,722","19,722","19,142",996.70K,-2.16%
13/02/2015,"19,247","19,142","19,405","19,142",668.89K,0.55%
24/02/2015,"20,566","19,511","20,566","19,353",1.74M,6.85%
25/02/2015,"20,091","20,513","21,040","20,091",1.53M,-2.31%
26/02/2015,"20,776","20,302","21,040","20,249",1.28M,3.41%
27/02/2015,"20,249","20,829","20,829","19,985",1.21M,-2.54%
02/03/2015,"20,249","20,196","20,407","19,880",535.63K,0.00%
03/03/2015,"20,302","20,196","20,566","20,038",973.65K,0.26%
04/03/2015,"20,460","20,460","20,460","20,091",768.76K,0.78%
05/03/2015,"19,985","20,407","20,407","19,985",1.19M,-2.32%
06/03/2015,"19,669","19,933","20,038","19,353",2.43M,-1.58%
